GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment02-Team12-exercise01,default,RingBuffer.RingBufferIterator,4,38,0,4,1,5,1,5,1,3
Assignment02-Team12-exercise01,default,RingBuffer,0,104,0,6,0,20,0,9,0,6
Assignment02-Team12-exercise01,default,RingBufferException,0,4,0,0,0,2,0,1,0,1
